LOCATION,Year,Imports
AUS,2010,20.4051316868337
AUS,2011,21.6673910261196
AUS,2012,21.2891913949774
AUS,2013,21.3753685262765
AUS,2014,21.5550374082505
AUS,2015,21.550576819355
AUS,2016,20.7201613801918
AUS,2017,21.5161440003039
AUS,2018,21.675186593329
AUS,2019,20.2251510630871
AUS,2020,17.7948768973942
AUS,2021,19.9417423001917
AUT,2010,47.7576359096203
AUT,2011,51.154117778086
AUT,2012,51.1785012313079
AUT,2013,50.625120789651
AUT,2014,50.1169562048263
AUT,2015,49.3382548303838
AUT,2016,48.5756846289351
AUT,2017,50.8876917912507
AUT,2018,52.4614203877556
AUT,2019,52.128791145464
AUT,2020,48.6108163058355
AUT,2021,55.3219834500504
AUT,2022,59.3391216002942
BEL,2010,74.14760859514
BEL,2011,80.7963607521708
BEL,2012,80.3415397228249
BEL,2013,78.5264966401955
BEL,2014,78.9822068454526
BEL,2015,76.3872643576431
BEL,2016,78.2354105104266
BEL,2017,82.1434260996683
BEL,2018,83.4151576304182
BEL,2019,81.7690500946256
BEL,2020,77.7337975074996
BEL,2021,85.7757216562648
BEL,2022,97.7457529826763
CAN,2010,31.040702308697
CAN,2011,31.8203468535221
CAN,2012,32.2425940003317
CAN,2013,31.8991697713283
CAN,2014,32.6420699203669
CAN,2015,34.3149583434023
CAN,2016,33.8610786779789
CAN,2017,33.6466506994867
CAN,2018,34.2744361322643
CAN,2019,33.8187894602395
CAN,2020,31.9210782008806
CAN,2021,30.9554282763353
CAN,2022,33.5439527000462
CZE,2010,62.4859061276726
CZE,2011,67.040951691926
CZE,2012,70.8826700109956
CZE,2013,70.3640354339119
CZE,2014,75.6207076036768
CZE,2015,74.6168853659096
CZE,2016,71.4791907144509
CZE,2017,71.5055129948816
CZE,2018,71.0049473632267
CZE,2019,67.8912433363527
CZE,2020,63.1995482324718
CZE,2021,69.7667775410123
CZE,2022,74.9429773008525
DNK,2010,43.5770492484191
DNK,2011,47.4256465609762
DNK,2012,48.610476322948
DNK,2013,48.2213220971567
DNK,2014,47.6507769059402
DNK,2015,48.6300540046819
DNK,2016,46.7428482622986
DNK,2017,47.9020131257278
DNK,2018,50.4151919422829
DNK,2019,51.5776463887491
DNK,2020,48.5826383015702
DNK,2021,52.5217141767259
DNK,2022,58.686074322681
FIN,2010,37.0500098329462
FIN,2011,39.6791886786735
FIN,2012,40.3622218795545
FIN,2013,39.0762574576279
FIN,2014,37.6312851322155
FIN,2015,35.9755895640656
FIN,2016,36.0880478856922
FIN,2017,37.5035903509043
FIN,2018,39.7233811069896
FIN,2019,39.7247538126725
FIN,2020,35.7111049496299
FIN,2021,39.461838671317
FIN,2022,47.6437964744131
FRA,2010,28.0794912416196
FRA,2011,30.369238945981
FRA,2012,30.499031981938
FRA,2013,30.3993172078638
FRA,2014,30.8121120215465
FRA,2015,31.1590715564548
FRA,2016,30.852605198715
