LOCATION,SUBJECT,Year,Housing
BEL,NOMINAL,2013-Q1,98.906694616944
BEL,NOMINAL,2013-Q2,99.0437360784265
BEL,NOMINAL,2013-Q3,99.0403488978369
BEL,NOMINAL,2013-Q4,98.8572204067926
BEL,NOMINAL,2014-Q1,97.6463453435798
BEL,NOMINAL,2014-Q2,98.1707088184305
BEL,NOMINAL,2014-Q3,98.0829769462713
BEL,NOMINAL,2014-Q4,99.7679688917184
BEL,NOMINAL,2015-Q1,98.2033803500205
BEL,NOMINAL,2015-Q2,99.7643153218125
BEL,NOMINAL,2015-Q3,100.737158948062
BEL,NOMINAL,2015-Q4,101.295145380105
BEL,NOMINAL,2016-Q1,101.215423935857
BEL,NOMINAL,2016-Q2,102.318514065619
BEL,NOMINAL,2016-Q3,103.129153909214
BEL,NOMINAL,2016-Q4,103.89890808931
BEL,NOMINAL,2017-Q1,105.651606576632
BEL,NOMINAL,2017-Q2,105.284132016754
BEL,NOMINAL,2017-Q3,106.901041938777
BEL,NOMINAL,2017-Q4,107.654219467837
BEL,NOMINAL,2018-Q1,108.232933276026
BEL,NOMINAL,2018-Q2,109.40968497644
BEL,NOMINAL,2018-Q3,109.604160911141
BEL,NOMINAL,2018-Q4,110.414220836393
BEL,NOMINAL,2019-Q1,112.096811917082
BEL,NOMINAL,2019-Q2,112.660613954779
BEL,NOMINAL,2019-Q3,114.614256704267
BEL,NOMINAL,2019-Q4,115.743317423872
BEL,NOMINAL,2020-Q1,116.031071047049
BEL,NOMINAL,2020-Q2,117.685193566569
BEL,NOMINAL,2020-Q3,118.270951611136
BEL,NOMINAL,2020-Q4,122.393783775246
BEL,NOMINAL,2021-Q1,124.07489810839
BEL,NOMINAL,2021-Q2,126.331567222435
BEL,NOMINAL,2021-Q3,128.009345962896
BEL,NOMINAL,2021-Q4,129.81418870628
BEL,NOMINAL,2022-Q1,132.0870352436
BEL,NOMINAL,2022-Q2,133.811974855837
BEL,NOMINAL,2022-Q3,134.85573208157
BEL,NOMINAL,2022-Q4,135.972257818125
CAN,NOMINAL,2010-Q2,80.0607091850925
CAN,NOMINAL,2010-Q3,79.3329531153521
CAN,NOMINAL,2010-Q4,80.1059582671489
CAN,NOMINAL,2011-Q1,81.7500082485304
CAN,NOMINAL,2011-Q2,83.3148723363138
CAN,NOMINAL,2011-Q3,84.6421787433012
CAN,NOMINAL,2011-Q4,85.5037966807913
CAN,NOMINAL,2012-Q1,86.5935454069827
CAN,NOMINAL,2012-Q2,87.726657836811
CAN,NOMINAL,2012-Q3,87.964215517607
CAN,NOMINAL,2012-Q4,88.214970847336
CAN,NOMINAL,2013-Q1,88.8013235356501
