LOCATION,Year,Exports
JPN,2011,14.7744622613499
JPN,2012,14.4147746129824
JPN,2013,15.7841567318773
JPN,2014,17.4186553484795
JPN,2015,17.4367598376529
JPN,2016,16.0579692360598
JPN,2017,17.5914391047836
JPN,2018,18.3149455985223
JPN,2019,17.4635264275221
JPN,2020,15.5494225001595
JPN,2021,18.201577671383
KOR,2010,47.1037369107414
KOR,2011,53.3377319003336
KOR,2012,54.0940513351953
KOR,2013,51.2920711097027
KOR,2014,47.8314208662979
KOR,2015,42.989561527711
KOR,2016,40.1326509111205
KOR,2017,40.9342069409884
KOR,2018,41.7132908430894
KOR,2019,39.2758610673609
KOR,2020,36.359590549146
KOR,2021,42.0354952410099
LUX,2010,162.709857140044
LUX,2011,169.489123436331
LUX,2012,171.211788066768
LUX,2013,176.383330927429
LUX,2014,182.782592419634
LUX,2015,191.835449041844
LUX,2016,191.098633740622
LUX,2017,192.747503540731
LUX,2018,197.501337465788
LUX,2019,204.320817651215
LUX,2020,199.619000865177
LUX,2021,211.433432185682
LUX,2022,209.366433041006
MEX,2010,29.6976647689721
MEX,2011,31.0367071399496
MEX,2012,32.2655677637235
MEX,2013,31.3056529520831
MEX,2014,31.8734413093812
MEX,2015,34.5248858421072
MEX,2016,37.0421710841871
MEX,2017,37.6515684577081
MEX,2018,39.2575517374039
MEX,2019,38.8212851623816
MEX,2020,39.4927686657501
MEX,2021,41.1018689548367
NLD,2010,69.8036724776943
NLD,2011,75.5030683053513
NLD,2012,79.5033738356974
NLD,2013,79.880477786038
NLD,2014,80.5779081541485
NLD,2015,82.658896708444
NLD,2016,79.5351647591471
NLD,2017,83.391768024212
NLD,2018,84.6834636757465
NLD,2019,82.5377127008628
NLD,2020,78.2654765043376
NLD,2021,83.0659169813085
NLD,2022,92.6376932933554
NZL,2010,30.2736276814431
NZL,2011,30.3950240582091
NZL,2012,28.8593905898689
NZL,2013,28.813704938314
NZL,2014,27.9828573783327
NZL,2015,27.9588000313308
NZL,2016,26.6482594895879
NZL,2017,27.5884131554235
NZL,2018,27.8786275719963
NZL,2019,27.3366249644232
NZL,2020,21.7576747523165
NZL,2021,22.3550541460785
NOR,2010,40.150329072743
NOR,2011,41.6612661743411
NOR,2012,41.2870648544023
NOR,2013,39.8613095344032
NOR,2014,39.7276720425482
NOR,2015,38.5751887349717
NOR,2016,35.9381714261875
NOR,2017,36.7322649944946
NOR,2018,38.2210272883516
NOR,2019,36.640925320627
NOR,2020,32.2103377797679
NOR,2021,41.7373837145801
NOR,2022,55.6735263925182
POL,2010,40.091385195431
POL,2011,42.5738635888214
POL,2012,44.2782744139008
POL,2013,45.9809241739596
POL,2014,46.4887871702835
POL,2015,47.450306399158
POL,2016,50.268318939351
POL,2017,52.0556850585588
POL,2018,52.7480289263233
POL,2019,53.1953356183897
POL,2020,52.9909243041795
POL,2021,57.6993442789919
POL,2022,62.2035360139037
PRT,2010,30.0693089249393
PRT,2011,34.4548615994609
PRT,2012,37.7780148210557
PRT,2013,39.6065049729616
PRT,2014,40.2159680026703
PRT,2015,40.6151154462762
PRT,2016,40.2108236358286
PRT,2017,42.7242663980773
PRT,2018,43.4457190264876
PRT,2019,43.5084218458323
PRT,2020,37.0467742388261
PRT,2021,41.6337384351212
PRT,2022,50.0480509538603
SVK,2010,76.5614725188402
SVK,2011,84.3382816718493
SVK,2012,90.8314078443453
SVK,2013,93.4420058595467
SVK,2014,91.4000799743051
SVK,2015,91.6004742927044
SVK,2016,93.4660454954659
SVK,2017,95.0743273195023
SVK,2018,95.8358511444373
SVK,2019,91.9101004487215
SVK,2020,85.0580516117778
SVK,2021,92.3538676444879
SVK,2022,99.0644249463614
ESP,2010,25.9516793464024
ESP,2011,29.5349622049272
ESP,2012,31.4551199491031
ESP,2013,32.9519524786
ESP,2014,33.4679762310577
ESP,2015,33.6108606686628
ESP,2016,33.8624576012634
ESP,2017,35.1305643393675
ESP,2018,35.1450626692993
ESP,2019,34.9069018147542
ESP,2020,30.7999452588532
ESP,2021,34.9334875650665
ESP,2022,41.5513281511377
SWE,2010,44.6788529489048
SWE,2011,45.2711911918356
SWE,2012,45.027525416194
SWE,2013,42.5268091342415
SWE,2014,43.2661612480684
SWE,2015,43.7667675162599
SWE,2016,42.691478270481
SWE,2017,43.734721932138
SWE,2018,45.6830615126713
SWE,2019,47.8092109523511
SWE,2020,43.847302531012
SWE,2021,46.2771601819101
SWE,2022,52.5863535243361
CHE,2010,64.8376281292117
CHE,2011,66.4499236280372
CHE,2012,67.7773730889207
CHE,2013,72.0682135926942
CHE,2014,65.3372700614294
CHE,2015,63.8289558013721
CHE,2016,66.8177259846827
CHE,2017,66.3484902339035
CHE,2018,67.4781860794245
CHE,2019,66.9653936767036
CHE,2020,64.3070319144159
CHE,2021,71.3712944663961
CHE,2022,74.9747084399726
TUR,2010,21.1941332849263
TUR,2011,22.9937012804749
TUR,2012,24.3608755382906
TUR,2013,23.7930094844499
TUR,2014,25.2055417034584
TUR,2015,24.5312773420396
TUR,2016,23.0835091123818
TUR,2017,26.039422340934
TUR,2018,31.1528780673527
TUR,2019,32.5272015710076
TUR,2020,28.7331269783964
TUR,2021,35.3030142276387
GBR,2010,28.5596270360417
GBR,2011,31.0926318838176
GBR,2012,30.3745357483273
GBR,2013,30.0492174139425
GBR,2014,28.3899685800131
GBR,2015,27.6303254870645
GBR,2016,28.6504713020159
GBR,2017,30.6724482591913
GBR,2018,31.2349066704984
GBR,2019,31.2576060558948
GBR,2020,29.2371897151774
GBR,2021,28.8199604800537
GBR,2022,32.7226463308604
