LOCATION,INDICATOR,TIME,Savings
ITA,HHSAV,2018,2.54325907915063
ITA,HHSAV,2019,2.40189260553387
ITA,HHSAV,2020,10.2257858873459
ITA,HHSAV,2021,7.55849395241995
ITA,HHSAV,2022,2.10635671385744
LUX,HHSAV,2010,5.4893622538279
LUX,HHSAV,2011,6.14877375145323
LUX,HHSAV,2012,6.38408933619547
LUX,HHSAV,2013,9.86878407310129
LUX,HHSAV,2014,9.74722512196681
LUX,HHSAV,2015,7.38505218328558
LUX,HHSAV,2016,5.96033959478304
LUX,HHSAV,2017,7.41497381596363
LUX,HHSAV,2018,6.56016221020665
LUX,HHSAV,2019,8.28263594397593
LUX,HHSAV,2020,19.0333393581886
LUX,HHSAV,2021,12.3866996850432
NLD,HHSAV,2010,6.28409395172087
NLD,HHSAV,2011,7.22231773071814
NLD,HHSAV,2012,8.95367825705979
NLD,HHSAV,2013,9.21230361983156
NLD,HHSAV,2014,10.5241023559755
NLD,HHSAV,2015,10.1804678582265
NLD,HHSAV,2016,10.7813523340636
NLD,HHSAV,2017,9.27310027445871
NLD,HHSAV,2018,9.82795080084586
NLD,HHSAV,2019,12.0194999589396
NLD,HHSAV,2020,18.8320171873185
NLD,HHSAV,2021,17.4798501845154
POL,HHSAV,2010,4.13478190716936
POL,HHSAV,2011,1.36875399499586
POL,HHSAV,2012,1.41418229906062
POL,HHSAV,2013,2.21526848421712
POL,HHSAV,2014,3.67988557272842
POL,HHSAV,2015,2.17229529477589
POL,HHSAV,2016,4.29632087529319
POL,HHSAV,2017,1.88724470263162
POL,HHSAV,2018,1.39299578398165
POL,HHSAV,2019,2.52317164599962
POL,HHSAV,2020,9.45781229766367
POL,HHSAV,2021,0.650756886314479
PRT,HHSAV,2010,1.57231144372316
PRT,HHSAV,2011,0.607412319913274
PRT,HHSAV,2012,2.06846263787415
PRT,HHSAV,2013,1.64529912532667
PRT,HHSAV,2014,-1.41759032276979
PRT,HHSAV,2015,-1.19186938909014
PRT,HHSAV,2016,-1.30554464616626
PRT,HHSAV,2017,-2.24142170232875
PRT,HHSAV,2018,-2.46664133736181
PRT,HHSAV,2019,-2.17080711745552
PRT,HHSAV,2020,2.09825708907234
PRT,HHSAV,2021,-0.639717664883717
PRT,HHSAV,2022,-5.43469934498192
SVK,HHSAV,2010,3.19849229409838
SVK,HHSAV,2011,2.14754849918497
SVK,HHSAV,2012,1.28366930777996
SVK,HHSAV,2013,0.184586503302302
SVK,HHSAV,2014,0.802625738610017
SVK,HHSAV,2015,3.22636691938137
SVK,HHSAV,2016,3.32132856953084
SVK,HHSAV,2017,2.10983208417815
SVK,HHSAV,2018,4.67889649447625
SVK,HHSAV,2019,3.95813592358027
SVK,HHSAV,2020,5.62123085123115
SVK,HHSAV,2021,3.30733100365128
ESP,HHSAV,2010,5.06468932062502
ESP,HHSAV,2011,5.90750549806244
ESP,HHSAV,2012,2.22401715488304
ESP,HHSAV,2013,3.98149034625818
ESP,HHSAV,2014,2.27614189881049
ESP,HHSAV,2015,3.1700230622558
ESP,HHSAV,2016,2.97293333014033
ESP,HHSAV,2017,1.64594967002683
ESP,HHSAV,2018,1.39629168610855
ESP,HHSAV,2019,4.10522275487033
ESP,HHSAV,2020,13.739640299938
ESP,HHSAV,2021,9.56239848745475
SWE,HHSAV,2010,9.8018615775939
SWE,HHSAV,2011,10.7168162341962
SWE,HHSAV,2012,13.1721826585409
SWE,HHSAV,2013,13.4200605678355
SWE,HHSAV,2014,13.8376469666273
SWE,HHSAV,2015,12.0596572251384
SWE,HHSAV,2016,13.3994508646166
