LOCATION,Year,unemployment
EST,2018,5.391667
EST,2019,4.483333
EST,2020,6.883333
EST,2021,6.208333
EST,2022,5.575
SVN,2010,7.258333
SVN,2011,8.183333
SVN,2012,8.85
SVN,2013,10.10833
SVN,2014,9.7
SVN,2015,8.983334
SVN,2016,8.008333
SVN,2017,6.575
SVN,2018,5.125
SVN,2019,4.441667
SVN,2020,4.983333
SVN,2021,4.775
SVN,2022,4.025
OECD,2010,8.534652
OECD,2011,8.126883
OECD,2012,8.107584
OECD,2013,8.013531
OECD,2014,7.455067
OECD,2015,6.888383
OECD,2016,6.470102
OECD,2017,5.940654
OECD,2018,5.491814
OECD,2019,5.418824
OECD,2020,7.164883
OECD,2021,6.163188
OECD,2022,5.002843
LVA,2010,19.475
LVA,2011,16.20833
LVA,2012,15.04167
LVA,2013,11.86667
LVA,2014,10.84167
LVA,2015,9.875
LVA,2016,9.633333
LVA,2017,8.708333
LVA,2018,7.4
LVA,2019,6.316667
LVA,2020,8.091666
LVA,2021,7.575
LVA,2022,6.85
LTU,2010,17.84167
LTU,2011,15.39167
LTU,2012,13.40833
LTU,2013,11.8
LTU,2014,10.725
LTU,2015,9.133333
LTU,2016,7.9
LTU,2017,7.116667
LTU,2018,6.183333
LTU,2019,6.283333
LTU,2020,8.516666
LTU,2021,7.125
LTU,2022,5.925
