LOCATION,INDICATOR,TIME,Household_wealth
DEU,HHWEALTH,2011,424.1301
DEU,HHWEALTH,2012,436.8998
DEU,HHWEALTH,2013,452.6975
DEU,HHWEALTH,2014,462.4353
DEU,HHWEALTH,2015,468.6908
DEU,HHWEALTH,2016,471.558
DEU,HHWEALTH,2017,479.5103
DEU,HHWEALTH,2018,476.7314
DEU,HHWEALTH,2019,500.0344
DEU,HHWEALTH,2020,517.8322
DEU,HHWEALTH,2021,554.6696
SWE,HHWEALTH,2010,475.3922
SWE,HHWEALTH,2011,432.2158
SWE,HHWEALTH,2012,434.0796
SWE,HHWEALTH,2013,471.7364
SWE,HHWEALTH,2014,525.9233
SWE,HHWEALTH,2015,550.8762
SWE,HHWEALTH,2016,580.2997
SWE,HHWEALTH,2017,594.496
SWE,HHWEALTH,2018,562.7352
SWE,HHWEALTH,2019,619.728
SWE,HHWEALTH,2020,686.8748
SWE,HHWEALTH,2021,753.7045
DNK,HHWEALTH,2010,452.3412
DNK,HHWEALTH,2011,447.9567
DNK,HHWEALTH,2012,498.4937
DNK,HHWEALTH,2013,509.4614
DNK,HHWEALTH,2014,552.8384
DNK,HHWEALTH,2015,568.4469
DNK,HHWEALTH,2016,697.3796
DNK,HHWEALTH,2017,707.9941
DNK,HHWEALTH,2018,681.4474
DNK,HHWEALTH,2019,748.3281
DNK,HHWEALTH,2020,823.1193
DNK,HHWEALTH,2021,988.771
GRC,HHWEALTH,2010,318.0253
GRC,HHWEALTH,2011,329.9374
GRC,HHWEALTH,2012,368.4424
GRC,HHWEALTH,2013,423.0504
GRC,HHWEALTH,2014,409.436
GRC,HHWEALTH,2015,393.5415
GRC,HHWEALTH,2016,386.3635
GRC,HHWEALTH,2017,396.3607
GRC,HHWEALTH,2018,365.4583
GRC,HHWEALTH,2019,362.2225
GRC,HHWEALTH,2020,382.1994
AUT,HHWEALTH,2010,408.4862
AUT,HHWEALTH,2011,406.3002
AUT,HHWEALTH,2012,407.8979
AUT,HHWEALTH,2013,427.0953
AUT,HHWEALTH,2014,432.6374
AUT,HHWEALTH,2015,439.2231
AUT,HHWEALTH,2016,438.7894
AUT,HHWEALTH,2017,446.7852
AUT,HHWEALTH,2018,444.5076
AUT,HHWEALTH,2019,452.565
AUT,HHWEALTH,2020,491.2668
AUT,HHWEALTH,2021,506.2139
PRT,HHWEALTH,2010,389.1646
PRT,HHWEALTH,2011,378.5551
PRT,HHWEALTH,2012,373.4164
PRT,HHWEALTH,2013,379.2925
PRT,HHWEALTH,2014,394.6919
PRT,HHWEALTH,2015,394.7362
PRT,HHWEALTH,2016,395.4554
PRT,HHWEALTH,2017,410.6864
PRT,HHWEALTH,2018,419.1057
PRT,HHWEALTH,2019,424.0815
PRT,HHWEALTH,2020,456.2539
LVA,HHWEALTH,2010,257.4895
LVA,HHWEALTH,2011,320.0357
LVA,HHWEALTH,2012,345.2176
LVA,HHWEALTH,2013,356.6511
LVA,HHWEALTH,2014,360.1223
LVA,HHWEALTH,2015,343.8063
LVA,HHWEALTH,2016,349.7424
LVA,HHWEALTH,2017,356.0467
LVA,HHWEALTH,2018,351.8301
LVA,HHWEALTH,2019,358.1719
LVA,HHWEALTH,2020,369.7018
LTU,HHWEALTH,2010,192.6198
LTU,HHWEALTH,2011,196.4827
LTU,HHWEALTH,2012,202.857
LTU,HHWEALTH,2013,211.2022
LTU,HHWEALTH,2014,212.8873
LTU,HHWEALTH,2015,221.4631
LTU,HHWEALTH,2016,224.6104
LTU,HHWEALTH,2017,232.3767
LTU,HHWEALTH,2018,231.1762
LTU,HHWEALTH,2019,231.8586
LTU,HHWEALTH,2020,245.3828
ESP,HHWEALTH,2010,332.0333
ESP,HHWEALTH,2011,316.5743
ESP,HHWEALTH,2012,325.4563
ESP,HHWEALTH,2013,352.042
ESP,HHWEALTH,2014,373.0132
ESP,HHWEALTH,2015,402.5874
ESP,HHWEALTH,2016,399.3086
ESP,HHWEALTH,2017,392.2701
ESP,HHWEALTH,2018,385.2155
ESP,HHWEALTH,2019,390.2174
ESP,HHWEALTH,2020,420.3188
