LOCATION,Year,Nominal
SWE,2013,80.7849999999999
SWE,2014,88.4024999999999
SWE,2015,100
SWE,2016,108.2425
SWE,2017,115.4275
SWE,2018,114.35
SWE,2019,117.1875
SWE,2020,122.11
SWE,2021,134.4625
SWE,2022,139.250000003405
CHE,2010,82.6085
CHE,2011,87.8732500000001
CHE,2012,92.1202500000001
CHE,2013,94.8680000000001
CHE,2014,97.4507500000001
CHE,2015,100
CHE,2016,101.628
CHE,2017,103.5915
CHE,2018,106.73075
CHE,2019,110.57725
CHE,2020,115.3605
CHE,2021,123.338
CHE,2022,132.60500000056
EST,2010,63.9010902472744
EST,2011,69.3230766923083
EST,2012,74.3710640723398
EST,2013,82.2932942667643
EST,2014,93.5795160512099
EST,2015,100
EST,2016,104.74448813878
EST,2017,110.511223721941
EST,2018,117.065957335107
EST,2019,125.267186832033
EST,2020,132.79166802083
EST,2021,152.777618058345
LVA,2010,80.3500000000001
LVA,2011,88.7250000000001
LVA,2012,91.3625000000001
LVA,2013,97.6225000000001
LVA,2014,103.475
LVA,2015,100
LVA,2016,108.4875
LVA,2017,118.0125
LVA,2018,129.3
LVA,2019,140.875
LVA,2020,145.7675
LVA,2021,161.645
LVA,2022,184.212499998619
LTU,2010,84.2025
LTU,2011,89.765
LTU,2012,89.5574999999999
LTU,2013,90.645
LTU,2014,96.47
LTU,2015,100
LTU,2016,105.4
LTU,2017,114.7975
LTU,2018,123.18
LTU,2019,131.61
LTU,2020,141.1775
LTU,2021,163.84
LTU,2022,195.047500007301
SVN,2010,117.205
SVN,2011,120.385
SVN,2012,112.09
SVN,2013,106.21
SVN,2014,99.2025000000001
SVN,2015,100
SVN,2016,103.2525
SVN,2017,111.785
SVN,2018,121.5475
SVN,2019,129.69
SVN,2020,135.6575
SVN,2021,151.3175
SVN,2022,173.605000003118
OECD,2010,88.6116513868449
OECD,2011,88.4606611296501
OECD,2012,89.3950509727048
OECD,2013,92.1442704982482
OECD,2014,95.5811927089679
OECD,2015,100
OECD,2016,105.359098651077
OECD,2017,111.140358519364
OECD,2018,116.603121342588
OECD,2019,121.344446491536
OECD,2020,128.966973419751
OECD,2021,145.182503547833
OECD,2022,165.902802709556
BGR,2010,105.8075
BGR,2011,99.9750000000001
BGR,2012,98.0725
BGR,2013,95.9150000000001
BGR,2014,97.29
BGR,2015,100
BGR,2016,107.02
BGR,2017,116.295
BGR,2018,123.955
BGR,2019,131.4175
BGR,2020,137.4125
BGR,2021,149.3325
BGR,2022,169.917500003046
ROU,2010,119.5425
ROU,2011,104.8275
ROU,2012,99.51
ROU,2013,99.2599999999999
ROU,2014,97.2199999999999
ROU,2015,100
ROU,2016,105.95
ROU,2017,112.355
ROU,2018,118.6175
ROU,2019,122.69
ROU,2020,128.435
ROU,2021,134.0875
ROU,2022,143.697500001444
HRV,2010,110.47
HRV,2011,110.66
HRV,2012,108.9275
HRV,2013,104.6275
HRV,2014,102.975
HRV,2015,100
HRV,2016,100.8875
HRV,2017,104.745
HRV,2018,111.14
HRV,2019,121.1025
HRV,2020,130.38
HRV,2021,139.9125
HRV,2022,160.685000003294
